Reporting Customer,Parent Customer/Project: Company Name,Customer,Transaction Type,Document Number,P.O. No.,Date,Due Date,Age,Bucket,Amount (Gross),Open Balance,Gross vs Amt Due,Email,Email 2,Sales Channel: Name,Memo,Terms: Name,Sales Rep: Name,Transaction Reason,Channel Clean,Snapshot Date
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV844687,'Robert Estrera' via pdxorders,2026-06-03,2026-07-18,-5,Current,1482.13,1482.13,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV845329,Email - Robert,2026-06-10,2026-07-25,-12,Current,905.67,905.67,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV845388,Email - Robert,2026-06-11,2026-07-26,-13,Current,556.57,556.57,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV845429,Email - Robert,2026-06-11,2026-07-26,-13,Current,82.86,82.86,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV845974,Email - Robert,2026-06-17,2026-08-01,-19,Current,1910.96,1910.96,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV846702,'Robert Estrera' via pdxorders,2026-06-25,2026-08-09,-27,Current,1003.25,1003.25,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV846785,'Robert Estrera' via pdxorders,2026-06-25,2026-08-09,-27,Current,129.78,129.78,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV847253,Email - Robert,2026-07-02,2026-08-16,-34,Current,614.7,614.7,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118650 Legacy: Emanuel Hospital,Invoice [AR INVOICE],INV847686,'Robert Estrera' via pdxorders,2026-07-08,2026-08-22,-40,Current,1253.06,1253.06,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV844683,Email - Angeline,2026-06-03,2026-07-18,-5,Current,875.06,875.06,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV845318,Email - Angeline,2026-06-10,2026-07-25,-12,Current,1191.83,1191.83,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV845977,Email - Doug,2026-06-17,2026-08-01,-19,Current,974.1,974.1,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV846050,Email - Doug,2026-06-18,2026-08-02,-20,Current,101.14,101.14,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV846690,Email - Angeline,2026-06-24,2026-08-08,-26,Current,821.52,821.52,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV847251,'Angeline Singh' via pdxorders,2026-07-02,2026-08-16,-34,Current,1749.34,1749.34,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118651 Legacy: Emanuel Hosp - Heartbeat Cafe,Invoice [AR INVOICE],INV847682,'Angeline Singh' via pdxorders,2026-07-08,2026-08-22,-40,Current,996.11,996.11,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV845243,Email - Aaron,2026-06-09,2026-07-24,-11,Current,2284.25,2284.25,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV845317,Email - Aaron,2026-06-10,2026-07-25,-12,Current,188.76,188.76,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV846529,Phone - Jorge,2026-06-23,2026-08-07,-25,Current,2478.63,2478.63,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV846592,Phone - Jorge,2026-06-24,2026-08-08,-26,Current,202.28,202.28,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV846689,Aaron Blanco Cruz,2026-06-24,2026-08-08,-26,Current,1279.5,1279.5,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Credit,CM68076,Aaron Blanco Cruz,2026-06-26,2026-06-26,17,15-30,-1279.5,-1279.5,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118900 Legacy: Good Sam. Hospital,Invoice [AR INVOICE],INV847532,'Jorge De La Torre Munoz' via pdxorders,2026-07-07,2026-08-21,-39,Current,1160.68,1160.68,0.0,accountspayableinv@lhs.org,KJackman@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119200 Legacy: Lake Oswego,Invoice [AR INVOICE],INV845452,Email,2026-06-11,2026-07-26,-13,Current,96.06,96.06,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119500 Legacy: Meridian Park Hospital,Invoice [AR INVOICE],INV845494,Korena Gray,2026-06-12,2026-07-27,-14,Current,1033.95,1033.95,0.0,accountspayableinv@lhs.org,SLANGELI@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119500 Legacy: Meridian Park Hospital,Invoice [AR INVOICE],INV846803,Korena Gray,2026-06-25,2026-08-09,-27,Current,1539.2,1539.2,0.0,accountspayableinv@lhs.org,SLANGELI@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119500 Legacy: Meridian Park Hospital,Invoice [AR INVOICE],INV847892,Korena Gray,2026-07-13,2026-08-27,-45,Current,584.2,584.2,0.0,accountspayableinv@lhs.org,SLANGELI@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119600 Legacy: Mt. Hood Medical Center,Invoice [AR INVOICE],INV845591,20251938,2026-06-15,2026-07-30,-17,Current,393.27,393.27,0.0,accountspayableinv@lhs.org,AGrigg@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119600 Legacy: Mt. Hood Medical Center,Invoice [AR INVOICE],INV847713,20262070,2026-07-09,2026-08-23,-41,Current,1135.12,1135.12,0.0,accountspayableinv@lhs.org,AGrigg@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119750 Legacy: NW Warehouse - PBS,Invoice [AR INVOICE],INV847077,Lisa Carleton,2026-06-30,2026-08-14,-32,Current,49.05,49.05,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP119751 Legacy: NW Warehouse - Mail Room,Invoice [AR INVOICE],INV846872,Email - Kirsten,2026-06-26,2026-08-10,-28,Current,130.13,130.13,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV845168,Email - Michelle,2026-06-08,2026-07-23,-10,Current,742.74,742.74,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV845655,'Michelle Stewart' via pdxorders,2026-06-15,2026-07-30,-17,Current,793.7,793.7,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV846439,'Michelle Stewart' via pdxorders,2026-06-22,2026-08-06,-24,Current,458.34,458.34,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV846972,Email - Michelle,2026-06-29,2026-08-13,-31,Current,617.0,617.0,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV847413,Email - Michelle,2026-07-06,2026-08-20,-38,Current,522.78,522.78,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120050 Legacy: Salmon Creek 02 - Cafeteria,Invoice [AR INVOICE],INV847928,Email - Michelle,2026-07-13,2026-08-27,-45,Current,573.74,573.74,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV844635,,2026-06-03,2026-07-18,-5,Current,47.19,47.19,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV844697,Cody - Call,2026-06-03,2026-07-18,-5,Current,1225.17,1225.17,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV845323,Cody - Call,2026-06-10,2026-07-25,-12,Current,566.62,566.62,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV845428,Cody - Call,2026-06-11,2026-07-26,-13,Current,82.86,82.86,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV846051,Cody - Call,2026-06-18,2026-08-02,-20,Current,202.28,202.28,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV846590,Email - Cody,2026-06-24,2026-08-08,-26,Current,1863.62,1863.62,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV847252,Email - Cody,2026-07-02,2026-08-16,-34,Current,261.27,261.27,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120200 Legacy: Unity Center for Behavioral Health,Invoice [AR INVOICE],INV847695,,2026-07-09,2026-08-23,-41,Current,717.5,717.5,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120351 Legacy: Silverton Women's Health,Invoice [AR INVOICE],INV846246,'Stacy Humphreys' via pdxorders,2026-06-19,2026-08-03,-21,Current,233.33,233.33,0.0,accountspayableinv@lhs.org,AccountsPayable@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP120354 Legacy: Woodburn Family Medicine,Invoice [AR INVOICE],INV847698,Fax - 7/7/26,2026-07-09,2026-08-23,-41,Current,134.44,134.44,0.0,AccountsPayableInvoiceOnly@lhs.org,AccountsPayable@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP135215 Legacy: Keizer,Invoice [AR INVOICE],INV844852,'Ana Mozqueda' via pdxorders,2026-06-04,2026-07-19,-6,Current,110.8,110.8,0.0,accountspayableinv@lhs.org,AccountsPayable@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP135216 Legacy: Mt Angel,Invoice [AR INVOICE],INV845299,Email - Heather,2026-06-10,2026-07-25,-12,Current,133.71,133.71,0.0,accountspayableinv@lhs.org,,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP135394 Legacy: Behavioral Health - Silverton,Invoice [AR INVOICE],INV847202,Email - Lori,2026-07-01,2026-08-15,-33,Current,93.91,93.91,0.0,accountspayableinv@lhs.org,lferfuso@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CX1111269 Legacy: Silverton Hospital,Invoice [AR INVOICE],INV846178,,2026-06-19,2026-08-03,-21,Current,795.1,795.1,0.0,accountspayableinv@lhs.org,seclemen@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Courtyard by Marriott,,CP121300 Courtyard by Marriott,Invoice [AR INVOICE],INV832485,"Lazarevych, Vera (F)",2026-01-27,2026-03-13,122,91+,156.66,156.66,0.0,ursula.stevens@marriott.com,dawna.rutz@marriott.com,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Courtyard by Marriott,,CP121300 Courtyard by Marriott,Invoice [AR INVOICE],INV833048,"Lazarevych, Vera (F)",2026-02-03,2026-03-20,115,91+,180.16,180.16,0.0,ursula.stevens@marriott.com,dawna.rutz@marriott.com,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Courtyard by Marriott,,CP121300 Courtyard by Marriott,Invoice [AR INVOICE],INV844989,Email - Vera,2026-06-05,2026-07-20,-7,Current,202.82,202.82,0.0,ursula.stevens@marriott.com,dawna.rutz@marriott.com,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Midtown Market & Spirits,,CP121450 Midtown Market & Spirits,Invoice [AR INVOICE],INV847742,Phone - Greg,2026-07-09,2026-07-09,4,1-14,1913.9,1913.9,0.0,purchasing@midtownhondo.com,greg@midtownhondo.com,Foodservice Direct,,Credit Card (Preauthorized),Megan Adams,,Foodservice Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV839632,CK 7013539 | PYMT99840,2026-04-02,2026-05-17,57,31-60,1320.0,1320.0,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Shortage | 245392-1-NS,Net 45,Kristen Springer,Shortage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841039,01158,2026-04-23,2026-06-07,36,31-60,15.29,15.29,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.13.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841040,00732,2026-04-23,2026-06-07,36,31-60,40.74,40.74,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.11.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841041,01094,2026-04-23,2026-06-07,36,31-60,22.95,22.95,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841042,01095,2026-04-23,2026-06-07,36,31-60,53.55,53.55,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841043,01096,2026-04-23,2026-06-07,36,31-60,30.6,30.6,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841044,01097,2026-04-23,2026-06-07,36,31-60,15.3,15.3,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841045,01153,2026-04-23,2026-06-07,36,31-60,15.29,15.29,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
New Seasons Market-Ptld,,CP122350 New Seasons Market-Ptld,Chargeback,INV841046,01155,2026-04-23,2026-06-07,36,31-60,15.29,15.29,0.0,ap@newseasonsmarket.com,deidrec@newseasonsmarket.com,Grocery Direct,Spoilage | 03.10.26,Net 45,Kristen Springer,Spoilage,Grocery Direct,2026-07-13
